регион ;py;ngo;msp;ciss;url
Алтайский край;107;14;3;1;https://www.aksp.ru/establishments/reestr-postavshchikov-sotsialnykh-uslug/
Амурская область;58;5;1;0;https://szn.amurobl.ru/pages/deyatelnost-ministerstva/sotsialnoe-obsluzhivanie/reestr-postavshchikov-sotsialnykh-uslug-amurskoy-oblasti/
Архангельская область;75;14;11;1;https://social.arhzan.ru/serviceproviders
Астраханская область;43;2;3;1;http://rpost.astrobl.ru/rpost/reestr_last.html?PageSize=30&Sort=&PageNumber=2
Белгородская область;70;5;4;0;http://reestr.usznbel.ru:8080/rpost/reestr.html?PageSize=10&Sort=0&PageNumber=1
Брянская область;78;12;2;0;https://uszn032.ru/reestrpostuslug/info-ob-organizatsiyakh.php
Владимирская область;96;8;7;0;https://www.social33.ru/socobslujivanie/reestr-postavshchikov-sotsialnykh-uslug/
Волгоградская область;111;26;1;0;http://uszn.volgograd.ru/postavshchiki-sotsialnykh-uslug/postavshchiki-sotsialnykh-uslug/
Вологодская область;70;4;4;1;https://socium.gov35.ru/deyatelnost/informatsionnye-sistemy/reestr/
Воронежская область;121;13;1;0;https://www.govvrn.ru/reestr-postavsikov-social-nyh-uslug
Ивановская область;40;4;1;0;http://szn.ivanovoobl.ru/informatsiya-dlya-naseleniya/sotsialnoe-obsluzhivanie-grazhdan/
Иркутская область;93;6;0;1;https://services.irksobes.ru/additional/suppliers442/list/?Category=&Service=&Circumstance=&find=Найти&TypeService=&Address=&Supplier=&SocForm=0&page=10
Кабардино-Балкарская Республика;25;3;0;0;https://mintrudkbr.ru/reestr-442.html
Калининградская область;92;35;4;0;https://social.gov39.ru/reestr-postavshchikov-sotsialnykh-uslug-kaliningradskoy-oblasti/
Калужская область;39;2;3;0;https://admoblkaluga.ru/sub/minsocial/pravo/442FZ/rerpostsocusl.php#/upload/minsocial/pravo/442fz/r_sem_03.06.19.rtf
Карачаево-Черкесская Республика;6;0;0;0;https://www.mintrudkchr.ru/uploadedFiles/upload-2017-02-21-10-14-36.pdf
Кемеровская область;83;12;3;0;http://dsznko.ru:8080/rpost/reestr_last.html?PageSize=30&Sort=&PageNumber=3
Кировская область;44;4;0;0;http://www.socialkirov.ru/social/root/uson/registry.htm
Костромская область;69;12;4;0;http://socdep.adm44.ru/general/socpol/socserv/442_FZ/reestr_p/
Краснодарский край;0;0;0;0;http://rpsu.krasnodar.ru/
Красноярский край;171;20;5;1;https://szn24.ru/node/5821
Курганская область;58;6;0;0;http://rpost.uszn.kurganobl.ru/reestr_last.html?PageSize=30&Sort=&PageNumber=2
Курская область;61;6;5;0;http://adm.rkursk.ru/index.php?id=1434&page=7
Липецкая область;56;10;4;0;http://178.234.37.18:81/Rpost/reestr.html?PageSize=30&Sort=&PageNumber=2
Ленинградская область;108;12;32;0;https://social.lenobl.ru/ru/deiatelnost/reestr-postavshikov-socialnyh-u/
Магаданская область;19;3;2;0;http://msp.49gov.ru/rpost/reestr.html?PageSize=30&Sort=&PageNumber=1
Московская область;166;5;6;0;https://msr.mosreg.ru/dokumenty/normotvorchestvo/realizaciya-fz-ot-28-dekabrya-2013-g-442fz-o/reestr-postavschikov-socialnyh-uslug-moskovsk/22-11-2018-10-47-45-reestr-postavshchikov-sotsialnykh-uslug-moskovskoy
Мурманская область;45;7;16;0;https://minsoc.gov-murman.ru/activities/social_services_fed_law/reestr_soc_service_providers/
Ненецкий автономный округ;37;6;4;0;http://old.dszn.yanao.ru/social-population/reestr-postavschikov-socialnyh-uslug
Нижегородская область;201;18;23;0;https://minsocium.ru/index.php/sotsialnoe-obsluzhivanie/reestr
Новгородская область;45;5;4;1;http://social.novreg.ru/postavshikam/
Новосибирская область;142;53;4;0;https://www.nso.ru/page/15526
Омская область;0;8;5;1;http://www.omskmintrud.ru/?sid=8096
Оренбургская область;75;10;2;0;http://uslugi.orb.ru/recreg/main.htm?f=51&fid=0&blk=10284949
Орловская область;69;7;2;0;http://91.223.37.205:8080/aspnetkpweb/reestr.html?PageSize=10&Sort=0&PageNumber=1
Пензенская область;54;4;0;1;http://soc-bekovo.edusite.ru/p22aa1.html
Пермский край;96;16;31;1;http://minsoc.permkrai.ru/sotsialnoe-obsluzhivanie/reestr-post/
Приморский край;37;7;2;0;http://rpost.primorsky.ru/rpost/reestr.html?PageSize=30&Sort=&PageNumber=2
Псковская область;73;7;2;0;https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=2ahUKEwiFvsDTnavoAhXC8KYKHXG0DyMQFjAAegQIBhAB&url=http%3A%2F%2Fsocial.pskov.ru%2Fsites%2Fdefault%2Ffiles%2Fna_26.08.19.xls&usg=AOvVaw3MpYTriJtfGLXnMEHJEqn8
Республика Адыгея (Адыгея);21;4;1;0;http://adygheya.ru/ministers/departments/ministerstvo-truda-i-sotsialnogo-razvitiya/sotsialnoe/uslug.php
Республика Алтай;20;2;0;1;https://www.mintrud-altay.ru/dokumenty/113/962/
Республика Башкортостан;192;72;64;1;https://asp2.bashkortostan.ru/aspnet/reestr_last.html?PageSize=30&Sort=&PageNumber=7
Республика Бурятия;0;0;0;0;
Республика Дагестан;86;6;2;0;http://91.205.130.100/reestr/reestr.html?PageSize=30&Sort=&PageNumber=3
Республика Ингушетия;9;3;0;0;https://mintrudri.ru/realizatsiya-442-fz/90-reestr-postavshchikov-sotsialnykh-uslug?start=8
Республика Калмыкия;0;0;0;0;
Республика Карелия;49;8;6;0;https://social.karelia.ru/serviceproviders/index
Республика Коми;56;12;2;1;http://mintrudsoc.rkomi.ru/page/11940/
Республика Марий Эл;49;2;1;0;http://77.40.127.245/rpsu/index.php
Республика Мордовия;59;18;0;1;http://soc13.ru/post
Республика Саха (Якутия);111;4;19;0;http://reestr442.sakha.gov.ru/rpost/reestr.html
Республика Северная Осетия - Алания;33;5;1;0;http://minsotc.alania.gov.ru/activity/socservices/suppliers?page=2
Республика Татарстан (Татарстан);152;19;3;1;http://mtsz.tatarstan.ru/reestr-postavshchikov-sotsialnih-uslug.htm
Республика Тыва;0;0;0;0;
Республика Хакасия;31;7;2;0;https://msz19.ru/fz-ob-osnovah-socialnogo-obsluzhivaniya-grazhdan/postavshhiki-socialnyh-uslug/reestr-postavshhikov-socialnyh-uslug-obsluzhivanie-na-domu/
Ростовская область;184;21;17;0;http://mintrud.donland.ru/Default.aspx?pageid=130317
Рязанская область;50;5;1;0;https://mintrudsoc.ryazangov.ru/social_system/law_442/social_registry/
