"","name","sfe","geog","aud","god","gg"
"1"," ОКО.ОРГ - облачный видеорегистратор","             Профилактика социально опасных форм поведения граждан","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Учащиеся младших классов, Учащиеся средней школы, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2014        ",2014
"2","""Kids Olympic"" физкультурно-оздоровительный центр развития для детей","             Детские товары и услуги","             Кабардино-Балкария","                                       Родители с детьми, Дошкольники, Учащиеся младших классов"," 2015        ",2015
"3","""Авоська дарит надежду""","             Профориентация и трудоустройство","             Москва и Московская обл.","                                       Люди с ограниченными возможностями, инвалиды, Другое"," 2009        ",2009
"4","""Аист"" школа-студия мультипликации","             Образование","             Кемеровская обл.","                                       Люди с ограниченными возможностями, инвалиды, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2011        ",2011
"5","""БэбиЛэнд"", детский клуб ","             Образование","             Республика Алтай","                                       Родители с детьми, Дошкольники"," 2012        ",2012
"6","""Вторник"". Благотворительный магазин","             Экология","             Иркутская обл.","                                       Социально-незащищенные жители, Другое, Некоммерческие организации"," 2016        ",2016
"7","""Гармония"", школа-студия ногтевого искусства ","             Сфера услуг","             Вологодская обл.","                                       Родители с детьми, Дети-сироты, приемные семьи, Безработные, Неполные семьи"," 2013        ",2013
"8","""Детская парковка"", учебно-развивающий центр ","             Образование","             Архангельская обл.","                                       Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2013        ",2013
"9","""Доспехи"", индивидуальные ортопедические системы","             Здравоохранение","             Межрегиональный проект","                                       Люди с ограниченными возможностями, инвалиды"," 2008        ",2008
"10","""Забава"" Семейно-досуговый центр","             Культурно-просветительская деятельность","             Кемеровская обл.","                                       Родители с детьми, Дошкольники"," 2015        ",2015
"11","""Зайка-СдайКа"" детский комиссионный магазин","             Детские товары и услуги","             Курская обл.","                                       Пожилые люди, Родители с детьми, Социально-незащищенные жители, Дети-сироты, приемные семьи, Учащиеся младших классов, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи"," 2016        ",2016
